sample_idx,epoch-0,epoch-1,epoch-2,epoch-3,epoch-4
sample-0,4.2812323570251465,4.321057319641113,4.353028297424316,4.154168128967285,4.078499794006348
sample-1,2.8911914825439453,1.8630460500717163,2.431954860687256,1.4649055004119873,0.9266762137413025
sample-2,2.3599843978881836,3.9320669174194336,3.772648334503174,3.645293712615967,2.403615951538086
sample-3,0.2279507964849472,0.29067498445510864,0.21728746592998505,0.21100853383541107,0.07866939157247543
sample-4,1.6840382814407349,1.7366663217544556,0.8166812658309937,0.40686237812042236,0.13540524244308472
sample-5,0.5768201351165771,0.48848074674606323,0.14728859066963196,0.2172330766916275,0.16954734921455383
sample-6,0.16920720040798187,0.1391994059085846,0.14405480027198792,0.160323828458786,0.06934625655412674
sample-7,2.403407573699951,1.4871156215667725,0.6559062600135803,0.2232763022184372,0.18828827142715454
sample-8,2.767688035964966,1.0367976427078247,0.5248761177062988,0.19486625492572784,0.1391916275024414
sample-9,0.5217790603637695,0.6746124625205994,0.4665822386741638,0.29205071926116943,0.10913224518299103
sample-10,0.2993387281894684,0.17681778967380524,0.10317442566156387,0.1128704771399498,0.1470310539007187
sample-11,2.7303740978240967,2.259394407272339,2.1940407752990723,2.784677505493164,0.8199141621589661
sample-12,3.3628416061401367,3.7985916137695312,3.971757411956787,3.4830539226531982,2.874467134475708
sample-13,0.4807949662208557,0.1734331101179123,0.111655592918396,0.07254346460103989,0.054841116070747375
sample-14,2.363694906234741,1.1748706102371216,0.3948850631713867,0.18046557903289795,0.1449936330318451
sample-15,0.2595551908016205,0.18056589365005493,0.12684540450572968,0.1659197211265564,0.06057604029774666
sample-16,1.526009440422058,2.0736446380615234,2.0153322219848633,1.020195722579956,0.47718483209609985
sample-17,1.3259996175765991,0.7187973856925964,0.4824598431587219,0.20182815194129944,0.06664323061704636
sample-18,0.8261623382568359,0.7084887623786926,0.3783383071422577,0.1410088986158371,0.2576328217983246
sample-19,1.614549994468689,1.7059460878372192,2.0123724937438965,1.4651947021484375,0.8462143540382385
sample-20,0.698202908039093,0.30622196197509766,0.24961790442466736,0.1740647405385971,0.16408225893974304
sample-21,1.2789077758789062,1.362349271774292,0.6887930035591125,0.5594052076339722,0.4359402656555176
